dataset,series,method,points,anomaly_ratio,ap,auc,best_f1,best_precision,best_recall,f1_q95,f1_q97,f1_q99,f1_q995,f1_mad3,precision_q99,recall_q99,precision_mad3,recall_mad3,event_f1_q95,event_f1_q97,event_f1_q99,event_f1_q995,event_f1_mad3,point_f1_pa,point_precision_pa,point_recall_pa,point_threshold_pa,event_f1_pa_log,event_precision_pa_log,event_recall_pa_log,event_threshold_pa_log
AIOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,persistence,149525,0.006661,0.259195,0.742628,0.346968,0.582938,0.246988,0.099611,0.141816,0.256719,0.318807,0.150605,0.213761,0.321285,0.093462,0.387550,0.080879,0.121316,0.284810,0.478026,0.130627,0.923897,0.893158,0.956827,0.108018,0.773913,0.754237,0.794643,0.137335
AIOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,rolling_mean,149525,0.006661,0.325169,0.761358,0.411187,0.831804,0.273092,0.105512,0.151012,0.275973,0.365826,0.152001,0.229793,0.345382,0.093107,0.413655,0.068286,0.103168,0.251392,0.454545,0.104125,0.978511,0.974129,0.982932,0.071891,0.905983,0.868852,0.946429,0.078554
AIOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,rolling_median,149525,0.006661,0.321767,0.748349,0.409786,0.858974,0.269076,0.105857,0.150255,0.278846,0.360092,0.155466,0.232000,0.349398,0.096049,0.407631,0.065181,0.097959,0.250384,0.448430,0.103993,0.980471,0.978022,0.982932,0.074470,0.915888,0.960784,0.875000,0.092531
AIOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,rolling_mad,149525,0.006661,0.118609,0.599800,0.218239,0.487805,0.140562,0.059719,0.079898,0.143660,0.178899,0.072557,0.119652,0.179719,0.042971,0.232932,0.042721,0.061427,0.142878,0.237019,0.053393,0.834637,0.868621,0.803213,6.199624,0.623932,0.598361,0.651786,7.557749
AIOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,spectral_residual,149525,0.006661,0.341352,0.818275,0.456880,0.663480,0.348394,0.128644,0.186063,0.349117,0.436927,0.180922,0.290775,0.436747,0.109688,0.516064,0.062098,0.099948,0.268750,0.504013,0.096135,0.970646,0.946565,0.995984,0.014912,0.834646,0.746479,0.946429,0.018035
AIOPS,0efb375b-b902-3661-ab23-9a0bb799f4e3,persistence,8783,0.008084,0.048140,0.382029,0.172414,0.222222,0.140845,0.066536,0.083582,0.150943,0.156522,0.063872,0.136364,0.169014,0.037209,0.225352,0.048276,0.087432,0.216216,0.341463,0.049123,0.851613,0.785714,0.929577,0.163395,0.457143,0.307692,0.888889,0.163395
AIOPS,0efb375b-b902-3661-ab23-9a0bb799f4e3,rolling_mean,8783,0.008084,0.105226,0.453671,0.208333,0.400000,0.140845,0.058708,0.071642,0.150943,0.173913,0.060852,0.136364,0.169014,0.035545,0.211268,0.060606,0.092437,0.252874,0.382979,0.062500,0.959459,0.922078,1.000000,0.119478,0.842105,0.800000,0.888889,0.139272
AIOPS,0efb375b-b902-3661-ab23-9a0bb799f4e3,rolling_median,8783,0.008084,0.099969,0.393323,0.187500,0.360000,0.126761,0.058708,0.083582,0.138365,0.173913,0.060362,0.125000,0.154930,0.035211,0.211268,0.058047,0.093220,0.222222,0.375000,0.059621,0.953020,0.910256,1.000000,0.117347,0.842105,0.800000,0.888889,0.137665
AIOPS,0efb375b-b902-3661-ab23-9a0bb799f4e3,rolling_mad,8783,0.008084,0.048025,0.513945,0.162162,0.225000,0.126761,0.070450,0.101493,0.138365,0.156522,0.079646,0.125000,0.154930,0.047244,0.253521,0.070461,0.112069,0.238095,0.350877,0.080495,0.829268,0.731183,0.957746,5.826721,0.380952,0.242424,0.888889,5.826721
AIOPS,0efb375b-b902-3661-ab23-9a0bb799f4e3,spectral_residual,8783,0.008084,0.082448,0.520642,0.216216,0.300000,0.169014,0.078278,0.107463,0.176101,0.208696,0.081633,0.159091,0.197183,0.047733,0.281690,0.052083,0.094017,0.250000,0.461538,0.054496,0.940397,0.887500,1.000000,0.067455,0.666667,0.500000,1.000000,0.067455
