dataset,method,series,rows,seeds,points,valid_ap_series,zero_anomaly_series,coverage_ratio,ap,ap_std,auc,auc_std,best_f1,best_f1_std,best_precision,best_precision_std,best_recall,best_recall_std,f1_q95,f1_q95_std,f1_q97,f1_q97_std,f1_q99,f1_q99_std,f1_q995,f1_q995_std,f1_mad3,f1_mad3_std,precision_q99,precision_q99_std,recall_q99,recall_q99_std,precision_mad3,precision_mad3_std,recall_mad3,recall_mad3_std,event_f1_q95,event_f1_q95_std,event_f1_q97,event_f1_q97_std,event_f1_q99,event_f1_q99_std,event_f1_q995,event_f1_q995_std,event_f1_mad3,event_f1_mad3_std,valid_point_pa_series,valid_event_pa_series,point_f1_pa,point_f1_pa_std,point_precision_pa,point_precision_pa_std,point_recall_pa,point_recall_pa_std,point_threshold_pa,point_threshold_pa_std,event_f1_pa_log,event_f1_pa_log_std,event_precision_pa_log,event_precision_pa_log_std,event_recall_pa_log,event_recall_pa_log_std,event_threshold_pa_log,event_threshold_pa_log_std
AIOPS,persistence,29,29,1,3073527,29,0,1.000000,0.208809,0.139923,0.623287,0.159983,0.284917,0.146352,0.440806,0.204779,0.229077,0.142991,0.118456,0.067395,0.143425,0.073620,0.191029,0.080841,0.198504,0.084157,0.148865,0.076381,0.262297,0.161895,0.235215,0.180938,0.126349,0.094004,0.311309,0.173747,0.149064,0.183012,0.191745,0.186165,0.310410,0.173910,0.443510,0.197540,0.157818,0.107070,29,29,0.851052,0.106186,0.868643,0.104671,0.851358,0.145980,0.128378,0.100403,0.682278,0.149751,0.727362,0.170554,0.682040,0.188504,0.219701,0.300118
AIOPS,rolling_mad,29,29,1,3073527,29,0,1.000000,0.124879,0.133566,0.578537,0.128189,0.196014,0.139311,0.324293,0.262402,0.217831,0.197799,0.074442,0.043722,0.085115,0.051202,0.108318,0.056244,0.112673,0.071447,0.086704,0.035026,0.133651,0.077294,0.157048,0.170982,0.060239,0.029030,0.240076,0.155212,0.124153,0.180740,0.142167,0.182032,0.184212,0.113369,0.250450,0.135598,0.094124,0.053414,29,29,0.780915,0.161360,0.820685,0.199095,0.796516,0.183528,11441.770738,28276.320244,0.537698,0.216535,0.641402,0.266119,0.568585,0.227668,39503.119545,122432.748900
AIOPS,rolling_mean,29,29,1,3073527,29,0,1.000000,0.248301,0.163689,0.641959,0.153583,0.317761,0.162504,0.541156,0.266236,0.240402,0.133843,0.123297,0.074654,0.151647,0.082718,0.210853,0.096052,0.220530,0.101129,0.150556,0.075887,0.289865,0.185673,0.254619,0.187819,0.121179,0.080921,0.326096,0.181243,0.150308,0.183457,0.164084,0.114856,0.335990,0.200132,0.472062,0.212216,0.147446,0.090567,29,29,0.892739,0.097224,0.919097,0.090284,0.880965,0.133964,0.097742,0.114659,0.791356,0.156680,0.879544,0.130650,0.740698,0.191759,0.151681,0.213527
AIOPS,rolling_median,29,29,1,3073527,29,0,1.000000,0.245565,0.167497,0.626844,0.165748,0.316143,0.168728,0.557952,0.270880,0.235918,0.139575,0.120023,0.072635,0.146560,0.081090,0.204806,0.095915,0.217551,0.100375,0.147481,0.074777,0.280504,0.184905,0.249469,0.185598,0.120978,0.084949,0.318310,0.179114,0.145730,0.183277,0.191067,0.189594,0.323829,0.196888,0.461517,0.211631,0.144587,0.090357,29,29,0.891568,0.097210,0.902915,0.111289,0.893346,0.123905,0.094307,0.106395,0.796675,0.155490,0.877096,0.142903,0.741668,0.181761,0.127856,0.121867
AIOPS,spectral_residual,29,29,1,3073527,29,0,1.000000,0.225506,0.114897,0.698538,0.151311,0.333666,0.144280,0.457632,0.185405,0.280326,0.146641,0.146523,0.078558,0.180541,0.086785,0.240395,0.099253,0.248256,0.118937,0.161572,0.077482,0.320410,0.175211,0.299246,0.227267,0.120857,0.072493,0.403711,0.225538,0.115454,0.090161,0.168814,0.121960,0.359252,0.204041,0.529021,0.211004,0.128621,0.089366,29,29,0.896236,0.076557,0.874574,0.103932,0.929968,0.086868,0.037533,0.047967,0.683639,0.138393,0.635935,0.173001,0.781162,0.176328,0.049561,0.052186
NAB,persistence,10,10,1,79308,10,0,1.000000,0.107710,0.025175,0.562084,0.073426,0.176969,0.036734,0.117606,0.029848,0.513339,0.338846,0.113581,0.041198,0.093451,0.042007,0.049401,0.030761,0.032539,0.018554,0.116899,0.048482,0.179883,0.075889,0.029313,0.019658,0.133201,0.046267,0.130203,0.079427,0.204409,0.066411,0.223890,0.069104,0.250399,0.105496,0.319210,0.163223,0.202343,0.074266,10,10,0.998146,0.002687,0.996312,0.005344,1.000000,0.000000,0.765280,0.515444,0.905195,0.134694,0.850000,0.209595,1.000000,0.000000,0.765280,0.515444
NAB,rolling_mad,10,10,1,79308,10,0,1.000000,0.082146,0.029005,0.509439,0.014063,0.145082,0.050140,0.086096,0.025605,0.683022,0.387958,0.074651,0.025552,0.057758,0.024855,0.024077,0.016846,0.015560,0.015532,0.073759,0.025058,0.098251,0.066172,0.014009,0.010036,0.086642,0.033705,0.082456,0.045145,0.151880,0.055938,0.161146,0.055280,0.154883,0.089252,0.158093,0.123050,0.152970,0.058055,10,10,0.980875,0.025905,0.963577,0.048528,1.000000,0.000000,11869.241087,18726.944613,0.617230,0.319655,0.541193,0.318937,0.950000,0.158114,16079.766868,28476.202039
NAB,rolling_mean,10,10,1,79308,10,0,1.000000,0.108883,0.026089,0.572059,0.074819,0.180572,0.034770,0.117105,0.024361,0.513860,0.300229,0.115565,0.041652,0.092061,0.039548,0.051619,0.032513,0.036850,0.024681,0.123740,0.048519,0.192500,0.080838,0.030350,0.020238,0.123171,0.040218,0.163480,0.118971,0.219967,0.059071,0.235960,0.062341,0.299582,0.114672,0.401539,0.158617,0.209698,0.060906,10,10,0.997599,0.003328,0.995230,0.006598,1.000000,0.000000,0.490657,0.324489,0.881418,0.149020,0.814484,0.222032,1.000000,0.000000,0.490657,0.324489
NAB,rolling_median,10,10,1,79308,10,0,1.000000,0.109379,0.025435,0.566876,0.074980,0.177716,0.037755,0.117842,0.027682,0.540540,0.339307,0.117692,0.040707,0.093940,0.040369,0.049988,0.032600,0.035628,0.022519,0.111992,0.058785,0.184294,0.082102,0.029434,0.020268,0.134079,0.046621,0.125397,0.093549,0.216582,0.058039,0.235978,0.070279,0.279150,0.128814,0.365918,0.142828,0.221145,0.065082,10,10,0.997894,0.002886,0.995812,0.005728,1.000000,0.000000,0.468524,0.308401,0.891504,0.136774,0.827201,0.207498,1.000000,0.000000,0.468524,0.308401
NAB,spectral_residual,10,10,1,79308,10,0,1.000000,0.115327,0.033424,0.593835,0.073798,0.185921,0.041731,0.121186,0.033039,0.539593,0.281472,0.129692,0.047038,0.100982,0.039198,0.058774,0.033827,0.033064,0.022011,0.137389,0.049796,0.233750,0.107698,0.034275,0.020965,0.137186,0.039546,0.155274,0.088470,0.237277,0.069658,0.247404,0.073795,0.338479,0.117785,0.388223,0.181597,0.214917,0.063240,10,10,0.992763,0.005909,0.985690,0.011629,1.000000,0.000000,0.317477,0.152933,0.678137,0.201196,0.548901,0.263997,1.000000,0.000000,0.317477,0.152933
