dataset,series,seed,method,points,anomaly_ratio,point_f1_pa,point_precision_pa,point_recall_pa,point_threshold_pa,event_f1_pa_log,event_precision_pa_log,event_recall_pa_log,event_threshold_pa_log
AIOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,20260704,Direct TShape-Zero,149509,0.006662,0.975898,0.956606,0.995984,0.164104,0.929204,0.921053,0.937500,0.172824
AIOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,20260704,TShape-zero_plus,149509,0.006662,0.970646,0.946565,0.995984,0.996144,0.895238,0.959184,0.839286,0.998121
AIOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,20260704,TShape-zero_plus_equal,149509,0.006662,0.953394,0.962168,0.944779,0.995822,0.876712,0.897196,0.857143,0.997178
AIOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,20260704,TShape-zero_plus_neural_heavy,149509,0.006662,0.967122,0.974516,0.959839,0.997475,0.895238,0.959184,0.839286,0.998467
AIOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,20260704,TShape-zero_plus_tshape_median,149509,0.006662,0.956612,0.985106,0.929719,0.998515,0.918919,0.927273,0.910714,0.998599
AIOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,20260704,TShape-zero_plus_tshape_spectral,149509,0.006662,0.989484,0.987013,0.991968,0.998171,0.946903,0.938596,0.955357,0.998371
AIOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,20260704,TShape-zero_plus_residual_only,149509,0.006662,0.968872,0.939623,1.000000,0.996148,0.914027,0.926606,0.901786,0.997986
AIOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,20260704,TShape-zero_plus_residual_only_minmax,149509,0.006662,0.980471,0.978022,0.982932,0.042338,0.901639,0.833333,0.982143,0.042338
AIOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,20260704,TShape-zero_plus_minmax,149509,0.006662,0.980392,0.981873,0.978916,0.043657,0.912134,0.858268,0.973214,0.043657
AIOPS,0efb375b-b902-3661-ab23-9a0bb799f4e3,20260704,Direct TShape-Zero,8767,0.008099,0.771739,0.628319,1.000000,0.167473,0.705882,0.750000,0.666667,0.204358
AIOPS,0efb375b-b902-3661-ab23-9a0bb799f4e3,20260704,TShape-zero_plus,8767,0.008099,0.946667,0.898734,1.000000,0.994705,0.750000,0.857143,0.666667,0.997808
AIOPS,0efb375b-b902-3661-ab23-9a0bb799f4e3,20260704,TShape-zero_plus_equal,8767,0.008099,0.940397,0.887500,1.000000,0.992883,0.666667,0.833333,0.555556,0.998036
AIOPS,0efb375b-b902-3661-ab23-9a0bb799f4e3,20260704,TShape-zero_plus_neural_heavy,8767,0.008099,0.910256,0.835294,1.000000,0.994477,0.750000,0.857143,0.666667,0.998474
AIOPS,0efb375b-b902-3661-ab23-9a0bb799f4e3,20260704,TShape-zero_plus_tshape_median,8767,0.008099,0.893082,0.806818,1.000000,0.994876,0.666667,0.833333,0.555556,0.999431
AIOPS,0efb375b-b902-3661-ab23-9a0bb799f4e3,20260704,TShape-zero_plus_tshape_spectral,8767,0.008099,0.893082,0.806818,1.000000,0.995104,0.750000,0.857143,0.666667,0.998747
AIOPS,0efb375b-b902-3661-ab23-9a0bb799f4e3,20260704,TShape-zero_plus_residual_only,8767,0.008099,0.986111,0.972603,1.000000,0.998104,0.900000,0.818182,1.000000,0.998104
AIOPS,0efb375b-b902-3661-ab23-9a0bb799f4e3,20260704,TShape-zero_plus_residual_only_minmax,8767,0.008099,0.972603,0.946667,1.000000,0.429405,0.888889,0.888889,0.888889,0.511328
