dataset,method,series,rows,seeds,points,valid_point_pa_series,valid_event_pa_series,zero_anomaly_series,coverage_ratio,point_f1_pa,point_f1_pa_std,event_f1_pa_log,event_f1_pa_log_std,point_precision_pa,point_precision_pa_std,point_recall_pa,point_recall_pa_std,point_threshold_pa,point_threshold_pa_std,event_precision_pa_log,event_precision_pa_log_std,event_recall_pa_log,event_recall_pa_log_std,event_threshold_pa_log,event_threshold_pa_log_std
AIOPS,Direct TShape-Zero,29,29,1,3073063,29,29,0,1.000000,0.870431,0.135414,0.768656,0.164355,0.893458,0.139589,0.863121,0.166764,0.196512,0.070620,0.851650,0.153943,0.724635,0.194765,0.218087,0.073607
AIOPS,TShape-zero_plus,29,29,1,3073063,29,29,0,1.000000,0.891146,0.109344,0.780873,0.142972,0.901729,0.097686,0.896641,0.147641,0.991379,0.007669,0.871436,0.131079,0.720035,0.167085,0.996874,0.002728
AIOPS,TShape-zero_plus_equal,29,29,1,3073063,29,29,0,1.000000,0.891310,0.102556,0.756096,0.142102,0.898454,0.095467,0.894804,0.135584,0.988085,0.010522,0.811270,0.176416,0.733509,0.150134,0.994849,0.005611
AIOPS,TShape-zero_plus_minmax,29,29,1,3073063,29,29,0,1.000000,0.897237,0.096405,0.787717,0.151561,0.910616,0.103418,0.898935,0.127856,0.145814,0.119462,0.825142,0.130074,0.767795,0.188058,0.177269,0.117036
AIOPS,TShape-zero_plus_neural_heavy,29,29,1,3073063,29,29,0,1.000000,0.888798,0.112410,0.778163,0.146719,0.908333,0.090676,0.891510,0.156017,0.993556,0.004552,0.847315,0.159554,0.737660,0.164540,0.997113,0.002764
AIOPS,TShape-zero_plus_residual_only,29,29,1,3073063,29,29,0,1.000000,0.905406,0.087867,0.805341,0.153886,0.919894,0.091018,0.904437,0.121391,0.994486,0.004148,0.868282,0.152167,0.765052,0.181973,0.997499,0.001870
AIOPS,TShape-zero_plus_residual_only_minmax,29,29,1,3073063,29,29,0,1.000000,0.898804,0.093511,0.783028,0.154627,0.917136,0.099838,0.894047,0.124316,0.136630,0.125198,0.817987,0.131116,0.761548,0.186653,0.165904,0.124443
AIOPS,TShape-zero_plus_tshape_median,29,29,1,3073063,29,29,0,1.000000,0.875141,0.123239,0.767737,0.152975,0.914330,0.090100,0.856519,0.168143,0.995507,0.004411,0.857069,0.150134,0.718095,0.185690,0.998252,0.001637
AIOPS,TShape-zero_plus_tshape_spectral,29,29,1,3073063,29,29,0,1.000000,0.901839,0.111810,0.798020,0.139818,0.902405,0.109781,0.910514,0.137001,0.993771,0.009299,0.865547,0.151289,0.762657,0.170534,0.997768,0.002256
NAB,Direct TShape-Zero,10,10,1,79148,10,10,0,1.000000,0.998330,0.002091,0.907489,0.108090,0.996674,0.004161,1.000000,0.000000,2.093911,0.797325,0.846215,0.175191,1.000000,0.000000,2.093911,0.797325
NAB,TShape-zero_plus,10,10,1,79148,10,10,0,1.000000,0.997797,0.002682,0.882997,0.137156,0.995616,0.005333,1.000000,0.000000,0.997416,0.003375,0.814052,0.213343,1.000000,0.000000,0.997416,0.003375
NAB,TShape-zero_plus_equal,10,10,1,79148,10,10,0,1.000000,0.993958,0.011635,0.819411,0.253272,0.988222,0.022448,1.000000,0.000000,0.993278,0.010794,0.753150,0.310237,1.000000,0.000000,0.993278,0.010794
NAB,TShape-zero_plus_minmax,10,10,1,79148,10,10,0,1.000000,0.998384,0.002170,0.909331,0.119507,0.996782,0.004320,1.000000,0.000000,0.611476,0.234114,0.852752,0.192927,1.000000,0.000000,0.611476,0.234114
NAB,TShape-zero_plus_neural_heavy,10,10,1,79148,10,10,0,1.000000,0.997078,0.003587,0.857262,0.165427,0.994197,0.007114,1.000000,0.000000,0.997755,0.002965,0.781962,0.244704,1.000000,0.000000,0.997755,0.002965
NAB,TShape-zero_plus_residual_only,10,10,1,79148,10,10,0,1.000000,0.996091,0.005512,0.841429,0.181953,0.992266,0.010855,1.000000,0.000000,0.997393,0.003415,0.793651,0.227175,0.944444,0.175682,0.998208,0.002185
NAB,TShape-zero_plus_residual_only_minmax,10,10,1,79148,10,10,0,1.000000,0.997844,0.003084,0.890747,0.142175,0.995714,0.006120,1.000000,0.000000,0.610794,0.268981,0.827677,0.214387,1.000000,0.000000,0.610794,0.268981
NAB,TShape-zero_plus_tshape_median,10,10,1,79148,10,10,0,1.000000,0.998487,0.002027,0.915065,0.104923,0.996985,0.004033,1.000000,0.000000,0.999653,0.000389,0.858120,0.169172,1.000000,0.000000,0.999653,0.000389
