dataset,method,selected_fraction,series,rows,seeds,points,zero_anomaly_series,coverage_ratio,valid_point_pa_series,valid_event_pa_series,point_f1_pa,point_f1_pa_std,event_f1_pa_log,event_f1_pa_log_std,point_precision_pa,point_precision_pa_std,point_recall_pa,point_recall_pa_std,point_threshold_pa,point_threshold_pa_std,event_precision_pa_log,event_precision_pa_log_std,event_recall_pa_log,event_recall_pa_log_std,event_threshold_pa_log,event_threshold_pa_log_std
AIOPS,TShape-zero-pattern-sourcecv,0.10,29,87,3,9220581,0,1.000000,29,29,0.876732,0.143960,0.767234,0.177000,0.888144,0.158106,0.890938,0.134231,0.077326,0.077619,0.848829,0.172075,0.730440,0.199394,0.094008,0.094025
AIOPS,TShape-zero-plus-sourcecv,0.10,29,87,3,9220581,0,1.000000,29,29,0.895490,0.092912,0.760886,0.150583,0.908489,0.101551,0.896666,0.122961,0.135352,0.121158,0.796901,0.136654,0.759591,0.195021,0.175440,0.128594
NAB,TShape-zero-pattern-sourcecv,0.10,10,30,3,237924,0,1.000000,10,10,0.998089,0.002596,0.899354,0.120099,0.996199,0.005148,1.000000,0.000000,0.431156,0.345855,0.836564,0.185401,1.000000,0.000000,0.431156,0.345855
NAB,TShape-zero-plus-sourcecv,0.10,10,30,3,237924,0,1.000000,10,10,0.998476,0.002545,0.916722,0.124366,0.996969,0.005053,1.000000,0.000000,0.614630,0.244330,0.867232,0.189621,1.000000,0.000000,0.614630,0.244330
TODS,TShape-zero-pattern-sourcecv,0.10,15,45,3,224955,0,1.000000,15,15,0.712598,0.156083,0.641638,0.120430,0.782287,0.174422,0.685530,0.192545,0.095984,0.141045,0.667352,0.186909,0.652747,0.149144,0.099273,0.141212
TODS,TShape-zero-plus-sourcecv,0.10,15,45,3,224955,0,1.000000,15,15,0.773070,0.136520,0.671715,0.089980,0.746814,0.183292,0.846919,0.159346,0.169855,0.189299,0.586307,0.155892,0.821280,0.079415,0.184985,0.198197
UCR,TShape-zero-pattern-sourcecv,0.10,203,609,3,23347008,2,1.000000,201,201,0.630890,0.383480,0.382439,0.439058,0.572716,0.404608,1.000000,0.000000,3.275881,17.718756,0.354888,0.439812,1.000000,0.000000,3.275881,17.718756
UCR,TShape-zero-plus-sourcecv,0.10,203,609,3,23347008,2,1.000000,201,201,0.674769,0.372878,0.406225,0.432359,0.618363,0.393357,1.000000,0.000000,0.513047,0.277044,0.372247,0.436323,1.000000,0.000000,0.513047,0.277044
WSD,TShape-zero-pattern-sourcecv,0.10,210,630,3,11487981,49,1.000000,161,161,0.962069,0.112986,0.885955,0.206828,0.952455,0.130194,0.985617,0.058505,2.131961,16.770155,0.872195,0.229897,0.954125,0.105861,2.153216,16.769099
WSD,TShape-zero-plus-sourcecv,0.10,210,630,3,11487981,49,1.000000,161,161,0.965928,0.067104,0.868810,0.173975,0.946340,0.094613,0.992007,0.038803,0.408849,0.256351,0.856179,0.215328,0.929137,0.127888,0.464005,0.237911
Yahoo,TShape-zero-pattern-sourcecv,0.10,367,1101,3,858576,15,1.000000,352,352,0.731664,0.270785,0.721910,0.272983,0.721847,0.295607,0.841425,0.241143,179.046878,2459.400880,0.716093,0.296883,0.830022,0.246033,179.188774,2459.391564
Yahoo,TShape-zero-plus-sourcecv,0.10,367,1101,3,858576,15,1.000000,352,352,0.770857,0.215335,0.758567,0.217952,0.715193,0.260673,0.918472,0.164575,0.682568,0.218276,0.704809,0.261664,0.905260,0.179601,0.693247,0.205609
