dataset,series,seed,method,alpha,selected_alpha,points,anomaly_ratio,point_f1_pa,point_precision_pa,point_recall_pa,point_threshold_pa,event_f1_pa_log,event_precision_pa_log,event_recall_pa_log,event_threshold_pa_log
AIOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,20260704,TShape-zero-plus-pattern-cv,0.05,0.05,149525,0.006661,0.977046,0.971230,0.982932,0.042958,0.876494,0.791367,0.982143,0.042958
AIOPS,0efb375b-b902-3661-ab23-9a0bb799f4e3,20260704,TShape-zero-plus-pattern-cv,0.05,0.05,8783,0.008084,0.979310,0.959459,1.000000,0.422427,0.888889,0.888889,0.888889,0.520603
AIOPS,1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0,20260704,TShape-zero-plus-pattern-cv,0.05,0.05,149525,0.004247,0.878840,0.959032,0.811024,0.064521,0.810811,0.773196,0.852273,0.064521
AIOPS,301c70d8-1630-35ac-8f96-bc1b6f4359ea,20260704,TShape-zero-plus-pattern-cv,0.05,0.05,8783,0.023454,0.942857,0.925234,0.961165,0.268514,0.822222,0.787234,0.860465,0.287610
AIOPS,42d6616d-c9c5-370a-a8ba-17ead74f3114,20260704,TShape-zero-plus-pattern-cv,0.05,0.05,149525,0.012687,0.769066,0.780978,0.757512,0.088446,0.842640,0.902174,0.790476,0.174366
AIOPS,43115f2a-baeb-3b01-96f7-4ea14188343c,20260704,TShape-zero-plus-pattern-cv,0.05,0.05,110693,0.008483,0.941758,0.972758,0.912673,0.131164,0.742857,0.792683,0.698925,0.140407
AIOPS,431a8542-c468-3988-a508-3afd06a218da,20260704,TShape-zero-plus-pattern-cv,0.05,0.05,131794,0.027035,0.987384,0.986278,0.988493,0.140027,0.938882,0.945026,0.932817,0.183147
AIOPS,4d2af31a-9916-3d9f-8a8e-8a268a48c095,20260704,TShape-zero-plus-pattern-cv,0.05,0.05,131794,0.023044,0.987765,0.992029,0.983536,0.056587,0.728814,0.641791,0.843137,0.056587
AIOPS,54350a12-7a9d-3ca8-b81f-f886b9d156fd,20260704,TShape-zero-plus-pattern-cv,0.05,0.05,8927,0.012434,0.804348,0.672727,1.000000,0.059497,0.444444,1.000000,0.285714,0.224281
AIOPS,55f8b8b8-b659-38df-b3df-e4a5a8a54bc9,20260704,TShape-zero-plus-pattern-cv,0.05,0.05,149525,0.040889,0.980902,0.974802,0.987079,0.114032,0.846667,0.863946,0.830065,0.147066
