dataset,series,seed,method,alpha,selected_alpha,points,anomaly_ratio,point_f1_pa,point_precision_pa,point_recall_pa,point_threshold_pa,event_f1_pa_log,event_precision_pa_log,event_recall_pa_log,event_threshold_pa_log
AIOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,20260704,TShape-zero-plus-alpha-0.00,0.00,,149525,0.006661,0.977046,0.971230,0.982932,0.042338,0.876494,0.791367,0.982143,0.042338
AIOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,20260704,TShape-zero-plus-alpha-0.05,0.05,,149525,0.006661,0.977046,0.971230,0.982932,0.042958,0.876494,0.791367,0.982143,0.042958
AIOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,20260704,TShape-zero-plus-alpha-0.10,0.10,,149525,0.006661,0.975976,0.973054,0.978916,0.045772,0.879032,0.801471,0.973214,0.045772
AIOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,20260704,TShape-zero-plus-alpha-0.15,0.15,,149525,0.006661,0.976954,0.975000,0.978916,0.046502,0.886179,0.813433,0.973214,0.046502
AIOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,20260704,TShape-zero-plus-alpha-0.20,0.20,,149525,0.006661,0.966914,0.951409,0.982932,0.043854,0.871369,0.813953,0.937500,0.049205
AIOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,20260704,TShape-zero-plus-alpha-0.25,0.25,,149525,0.006661,0.960774,0.975181,0.946787,0.050922,0.871369,0.813953,0.937500,0.050922
AIOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,20260704,TShape-zero-plus-alpha-0.30,0.30,,149525,0.006661,0.961264,0.976190,0.946787,0.052639,0.875000,0.820312,0.937500,0.052639
AIOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,20260704,TShape-zero-plus-alpha-0.35,0.35,,149525,0.006661,0.962245,0.978216,0.946787,0.054356,0.882353,0.833333,0.937500,0.054356
AIOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,20260704,TShape-zero-plus-alpha-0.40,0.40,,149525,0.006661,0.961421,0.972279,0.950803,0.054148,0.875000,0.820312,0.937500,0.054909
AIOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,20260704,TShape-zero-plus-alpha-0.45,0.45,,149525,0.006661,0.956349,0.945098,0.967871,0.052126,0.864407,0.822581,0.910714,0.057737
AIOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,20260704,TShape-zero-plus-alpha-0.50,0.50,,149525,0.006661,0.956349,0.945098,0.967871,0.054175,0.868085,0.829268,0.910714,0.059419
AIOPS,0efb375b-b902-3661-ab23-9a0bb799f4e3,20260704,TShape-zero-plus-alpha-0.00,0.00,,8783,0.008084,0.972603,0.946667,1.000000,0.429405,0.888889,0.888889,0.888889,0.511328
AIOPS,0efb375b-b902-3661-ab23-9a0bb799f4e3,20260704,TShape-zero-plus-alpha-0.05,0.05,,8783,0.008084,0.979310,0.959459,1.000000,0.422427,0.888889,0.888889,0.888889,0.520603
AIOPS,0efb375b-b902-3661-ab23-9a0bb799f4e3,20260704,TShape-zero-plus-alpha-0.10,0.10,,8783,0.008084,0.986111,0.972603,1.000000,0.434379,0.900000,0.818182,1.000000,0.434379
AIOPS,0efb375b-b902-3661-ab23-9a0bb799f4e3,20260704,TShape-zero-plus-alpha-0.15,0.15,,8783,0.008084,0.993007,0.986111,1.000000,0.446332,0.947368,0.900000,1.000000,0.446332
AIOPS,0efb375b-b902-3661-ab23-9a0bb799f4e3,20260704,TShape-zero-plus-alpha-0.20,0.20,,8783,0.008084,0.993007,0.986111,1.000000,0.458285,0.947368,0.900000,1.000000,0.458285
AIOPS,0efb375b-b902-3661-ab23-9a0bb799f4e3,20260704,TShape-zero-plus-alpha-0.25,0.25,,8783,0.008084,0.993007,0.986111,1.000000,0.470238,0.947368,0.900000,1.000000,0.470238
