dataset,method,series,rows,seeds,points,valid_point_pa_series,valid_event_pa_series,zero_anomaly_series,coverage_ratio,point_f1_pa,point_f1_pa_std,event_f1_pa_log,event_f1_pa_log_std,point_precision_pa,point_precision_pa_std,point_recall_pa,point_recall_pa_std,point_threshold_pa,point_threshold_pa_std,event_precision_pa_log,event_precision_pa_log_std,event_recall_pa_log,event_recall_pa_log_std,event_threshold_pa_log,event_threshold_pa_log_std
AIOPS,TShape-zero-plus-alpha-0.00,29,87,3,9220581,29,29,0,1.000000,0.894857,0.093606,0.759548,0.150772,0.908892,0.100322,0.894047,0.122862,0.136630,0.123734,0.798377,0.131944,0.755090,0.197986,0.177780,0.130142
AIOPS,TShape-zero-plus-alpha-0.05,29,87,3,9220581,29,29,0,1.000000,0.895799,0.092260,0.760090,0.150481,0.909308,0.098266,0.895594,0.122842,0.137980,0.122044,0.795608,0.134418,0.758563,0.195349,0.177363,0.128005
AIOPS,TShape-zero-plus-alpha-0.10,29,87,3,9220581,29,29,0,1.000000,0.895137,0.093499,0.762335,0.150749,0.910191,0.095818,0.893110,0.125227,0.139769,0.120894,0.801715,0.129647,0.758378,0.199509,0.178841,0.123760
AIOPS,TShape-zero-plus-alpha-0.15,29,87,3,9220581,29,29,0,1.000000,0.894853,0.093776,0.763024,0.151214,0.907354,0.098795,0.896039,0.125028,0.142626,0.121676,0.807652,0.136900,0.755980,0.195870,0.181532,0.124700
AIOPS,TShape-zero-plus-alpha-0.20,29,87,3,9220581,29,29,0,1.000000,0.893306,0.095630,0.763203,0.152289,0.904734,0.099265,0.896311,0.127879,0.143737,0.121096,0.809795,0.134160,0.750304,0.194157,0.182355,0.124179
AIOPS,TShape-zero-plus-alpha-0.25,29,87,3,9220581,29,29,0,1.000000,0.891676,0.096532,0.763016,0.152480,0.914172,0.090498,0.885857,0.136583,0.149061,0.121858,0.816326,0.139340,0.745071,0.193172,0.187552,0.131817
AIOPS,TShape-zero-plus-alpha-0.30,29,87,3,9220581,29,29,0,1.000000,0.890102,0.097086,0.762084,0.149964,0.909830,0.093306,0.887173,0.135854,0.151164,0.120702,0.819328,0.142853,0.740250,0.190101,0.190262,0.126293
AIOPS,TShape-zero-plus-alpha-0.35,29,87,3,9220581,29,29,0,1.000000,0.888281,0.097358,0.762479,0.149238,0.908350,0.095850,0.886096,0.137059,0.154151,0.121915,0.820427,0.139179,0.734981,0.184315,0.190935,0.129222
AIOPS,TShape-zero-plus-alpha-0.40,29,87,3,9220581,29,29,0,1.000000,0.885965,0.099186,0.763725,0.148190,0.903944,0.099543,0.885782,0.137693,0.157780,0.124624,0.818011,0.137324,0.741040,0.183043,0.190290,0.130156
AIOPS,TShape-zero-plus-alpha-0.45,29,87,3,9220581,29,29,0,1.000000,0.883669,0.100700,0.762640,0.146737,0.909307,0.097135,0.876414,0.139754,0.163501,0.127919,0.819513,0.137533,0.739063,0.182660,0.193319,0.132448
