dataset,series,method,seed,provenance,score_file,label_offset,points,anomaly_ratio,point_f1_pa,point_precision_pa,point_recall_pa,point_threshold_pa,event_f1_pa_log,event_precision_pa_log,event_recall_pa_log,event_threshold_pa_log
AIOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,TShape-faithful-reproduction,20260704,faithful local re-execution,Results/Scores/TShapeReproduction/naive/AIOPS/05f10d3a-239c-3bef-9bdc-a2feeb0037aa.npy,16,149510,0.006662,0.857668,0.790186,0.937751,0.576340,0.826923,0.895833,0.767857,0.610182
AIOPS,0efb375b-b902-3661-ab23-9a0bb799f4e3,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/AIOPS/0efb375b-b902-3661-ab23-9a0bb799f4e3.npy,16,8768,0.008098,0.972603,0.946667,1.000000,0.014217,0.823529,0.875000,0.777778,0.022094
AIOPS,1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0,TShape-faithful-reproduction,20260704,faithful local re-execution,Results/Scores/TShapeReproduction/naive/AIOPS/1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0.npy,16,149510,0.004247,0.885615,0.984586,0.804724,0.428039,0.876543,0.959459,0.806818,0.435485
AIOPS,301c70d8-1630-35ac-8f96-bc1b6f4359ea,TShape-faithful-reproduction,20260704,faithful local re-execution,Results/Scores/TShapeReproduction/naive/AIOPS/301c70d8-1630-35ac-8f96-bc1b6f4359ea.npy,16,8768,0.023495,0.852878,0.760456,0.970874,0.060545,0.772727,0.755556,0.790698,0.091309
AIOPS,42d6616d-c9c5-370a-a8ba-17ead74f3114,TShape-faithful-reproduction,20260704,faithful local re-execution,Results/Scores/TShapeReproduction/naive/AIOPS/42d6616d-c9c5-370a-a8ba-17ead74f3114.npy,16,149510,0.012688,0.815244,0.706178,0.964154,0.878981,0.870466,0.954545,0.800000,1.017809
AIOPS,43115f2a-baeb-3b01-96f7-4ea14188343c,TShape-faithful-reproduction,20260704,faithful local re-execution,Results/Scores/TShapeReproduction/naive/AIOPS/43115f2a-baeb-3b01-96f7-4ea14188343c.npy,16,110678,0.008484,0.901377,0.933790,0.871140,0.025302,0.689189,0.927273,0.548387,0.030882
AIOPS,431a8542-c468-3988-a508-3afd06a218da,TShape-faithful-reproduction,20260704,faithful local re-execution,Results/Scores/TShapeReproduction/naive/AIOPS/431a8542-c468-3988-a508-3afd06a218da.npy,16,131779,0.027038,0.963931,0.975568,0.952568,0.037219,0.918635,0.933333,0.904393,0.046580
AIOPS,4d2af31a-9916-3d9f-8a8e-8a268a48c095,TShape-faithful-reproduction,20260704,faithful local re-execution,Results/Scores/TShapeReproduction/naive/AIOPS/4d2af31a-9916-3d9f-8a8e-8a268a48c095.npy,16,131779,0.023046,0.940331,0.954854,0.926243,0.376942,0.568421,0.613636,0.529412,0.390012
AIOPS,54350a12-7a9d-3ca8-b81f-f886b9d156fd,TShape-faithful-reproduction,20260704,faithful local re-execution,Results/Scores/TShapeReproduction/naive/AIOPS/54350a12-7a9d-3ca8-b81f-f886b9d156fd.npy,16,8912,0.012455,0.888000,0.798561,1.000000,0.306835,0.500000,0.333333,1.000000,0.306835
AIOPS,55f8b8b8-b659-38df-b3df-e4a5a8a54bc9,TShape-faithful-reproduction,20260704,faithful local re-execution,Results/Scores/TShapeReproduction/naive/AIOPS/55f8b8b8-b659-38df-b3df-e4a5a8a54bc9.npy,16,149510,0.040894,0.982419,0.977803,0.987079,0.523790,0.856209,0.856209,0.856209,0.541750
AIOPS,57051487-3a40-3828-9084-a12f7f23ee38,TShape-faithful-reproduction,20260704,faithful local re-execution,Results/Scores/TShapeReproduction/naive/AIOPS/57051487-3a40-3828-9084-a12f7f23ee38.npy,16,131769,0.000349,1.000000,1.000000,1.000000,0.434440,1.000000,1.000000,1.000000,0.434440
