dataset,series,method,seed,score_file,label_offset,points,anomaly_ratio,ap,auc,best_f1,best_precision,best_recall,f1_q95,f1_q97,f1_q99,f1_q995,f1_mad3,precision_q99,recall_q99,precision_mad3,recall_mad3,event_f1_q95,event_f1_q97,event_f1_q99,event_f1_q995,event_f1_mad3,easytsad_event_f1_log,easytsad_event_precision_log,easytsad_event_recall_log,easytsad_event_threshold_log,easytsad_point_f1_pa,easytsad_point_precision_pa,easytsad_point_recall_pa,easytsad_point_threshold_pa
AIOPS,0efb375b-b902-3661-ab23-9a0bb799f4e3,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/AIOPS/0efb375b-b902-3661-ab23-9a0bb799f4e3.npy,16,8768,0.008098,0.128219,0.594736,0.235294,0.714286,0.140845,0.070588,0.089552,0.163522,0.226087,0.037383,0.147727,0.183099,0.019786,0.338028,0.045455,0.066116,0.204545,0.400000,0.021231,0.823529,0.875000,0.777778,0.022094,0.972603,0.946667,1.000000,0.014217
AIOPS,6d1114ae-be04-3c46-b5aa-be1a003a57cd,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/AIOPS/6d1114ae-be04-3c46-b5aa-be1a003a57cd.npy,16,149510,0.005090,0.099050,0.662536,0.148301,0.342857,0.094612,0.056088,0.073185,0.110767,0.137840,0.029063,0.083556,0.164258,0.015038,0.431012,0.043415,0.063567,0.136743,0.218807,0.019492,0.718563,0.731707,0.705882,0.016607,0.754441,0.626193,0.948752,0.008450
AIOPS,847e8ecc-f8d2-3a93-9107-f367a0aab37d,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/AIOPS/847e8ecc-f8d2-3a93-9107-f367a0aab37d.npy,16,149510,0.005297,0.207632,0.695551,0.301544,0.537217,0.209596,0.079584,0.111785,0.211538,0.277922,0.072124,0.161765,0.305556,0.039401,0.425505,0.054054,0.081673,0.213725,0.363812,0.047723,0.833333,0.762712,0.918367,0.009656,0.952746,0.963824,0.941919,0.009656
AIOPS,c02607e8-7399-3dde-9d28-8a8da5e5d251,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/AIOPS/c02607e8-7399-3dde-9d28-8a8da5e5d251.npy,16,8768,0.006957,0.089889,0.485328,0.173913,0.258065,0.131148,0.056000,0.073846,0.147651,0.152381,0.024348,0.125000,0.180328,0.012620,0.344262,0.041344,0.066390,0.192771,0.318182,0.013629,0.736842,0.583333,1.000000,0.027788,0.960630,0.924242,1.000000,0.027788
NAB,Twitter_volume_AAPL,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/NAB/Twitter_volume_AAPL.npy,16,7935,0.050158,0.132562,0.647246,0.201550,0.180198,0.228643,0.196226,0.182104,0.129707,0.068493,0.157895,0.387500,0.077889,0.096346,0.437186,0.211009,0.230769,0.470588,0.580645,0.124717,0.833333,0.714286,1.000000,0.929287,0.997494,0.995000,1.000000,0.929287
NAB,Twitter_volume_AMZN,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/NAB/Twitter_volume_AMZN.npy,16,7900,0.100253,0.125677,0.502088,0.182237,0.100253,1.000000,0.109520,0.091351,0.057405,0.043269,0.113333,0.316456,0.031566,0.166667,0.085859,0.244186,0.281818,0.375000,0.521739,0.247887,1.000000,1.000000,1.000000,0.034035,1.000000,1.000000,1.000000,0.034035
NAB,Twitter_volume_CRM,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/NAB/Twitter_volume_CRM.npy,16,7935,0.041966,0.128501,0.683966,0.221488,0.246324,0.201201,0.210959,0.199301,0.111380,0.069705,0.172281,0.287500,0.069069,0.105548,0.468468,0.289773,0.369099,0.444444,0.511628,0.142857,0.625000,0.454545,1.000000,0.016746,0.991071,0.982301,1.000000,0.016746
NAB,Twitter_volume_CVS,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/NAB/Twitter_volume_CVS.npy,16,7911,0.079510,0.147592,0.550579,0.164964,0.152497,0.179650,0.148293,0.140715,0.107193,0.077728,0.157923,0.475000,0.060413,0.119672,0.232114,0.235988,0.285714,0.506329,0.697674,0.161812,1.000000,1.000000,1.000000,0.023080,1.000000,1.000000,1.000000,0.023080
NAB,Twitter_volume_FB,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/NAB/Twitter_volume_FB.npy,16,7901,0.100240,0.114933,0.491308,0.183821,0.102153,0.916667,0.072391,0.052427,0.045872,0.038462,0.109055,0.250000,0.025253,0.090307,0.137626,0.136364,0.100000,0.185185,0.370370,0.156044,1.000000,1.000000,1.000000,0.697832,1.000000,1.000000,1.000000,0.697832
NAB,Twitter_volume_GOOG,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/NAB/Twitter_volume_GOOG.npy,16,7905,0.050348,0.126440,0.631832,0.177440,0.179028,0.175879,0.176322,0.150943,0.092050,0.082192,0.158339,0.275000,0.055276,0.106737,0.306533,0.256267,0.311688,0.375000,0.571429,0.155383,1.000000,1.000000,1.000000,0.296833,1.000000,1.000000,1.000000,0.296833
NAB,Twitter_volume_IBM,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/NAB/Twitter_volume_IBM.npy,16,7931,0.100366,0.138363,0.530433,0.190578,0.121088,0.447236,0.129086,0.110251,0.054795,0.043062,0.150273,0.300000,0.030151,0.164671,0.138191,0.282353,0.306931,0.363636,0.473684,0.253119,1.000000,1.000000,1.000000,1.283981,1.000000,1.000000,1.000000,1.283981
NAB,Twitter_volume_KO,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/NAB/Twitter_volume_KO.npy,16,7910,0.134008,0.156256,0.518385,0.243558,0.140188,0.927358,0.078297,0.058552,0.047368,0.043636,0.071983,0.337500,0.025472,0.142857,0.048113,0.211429,0.232323,0.426667,0.666667,0.204473,1.000000,1.000000,1.000000,0.852080,1.000000,1.000000,1.000000,0.852080
NAB,Twitter_volume_PFE,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/NAB/Twitter_volume_PFE.npy,16,7913,0.050297,0.072048,0.570179,0.115847,0.074022,0.266332,0.095718,0.072327,0.046025,0.031963,0.113261,0.137500,0.027638,0.069727,0.301508,0.134111,0.164384,0.214286,0.232558,0.115284,1.000000,1.000000,1.000000,0.120998,1.000000,1.000000,1.000000,0.120998
NAB,Twitter_volume_UPS,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/NAB/Twitter_volume_UPS.npy,16,7917,0.040167,0.053713,0.533626,0.123104,0.085928,0.216981,0.103641,0.061151,0.005025,0.005587,0.101112,0.012500,0.003145,0.060241,0.314465,0.159664,0.190476,0.041667,0.060606,0.101512,0.769231,0.625000,1.000000,0.253264,0.995305,0.990654,1.000000,0.253264
TODS,0,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/TODS/0.npy,16,4984,0.051966,0.662786,0.887730,0.663900,0.717489,0.617761,0.640472,0.621027,0.323625,0.176056,0.363148,1.000000,0.193050,0.236321,0.783784,0.698409,0.643645,0.320819,0.177778,0.484015,0.665227,0.709677,0.626016,0.008037,0.674948,0.727679,0.629344,0.008222
TODS,01,TShape-score-archive replay,score_archive,Results/Scores/TShape/naive/TODS/01.npy,16,4984,0.051966,0.757233,0.934661,0.714859,0.744770,0.687259,0.699411,0.645477,0.317152,0.176056,0.378247,0.980000,0.189189,0.239466,0.899614,0.786016,0.675532,0.332203,0.184502,0.510865,0.718182,0.814433,0.642276,0.010574,0.725702,0.823529,0.648649,0.010574
