dataset,series,method,seed,score_file,label_offset,points,anomaly_ratio,easytsad_event_f1_log,easytsad_event_precision_log,easytsad_event_recall_log,easytsad_event_threshold_log,easytsad_point_f1_pa,easytsad_point_precision_pa,easytsad_point_recall_pa,easytsad_point_threshold_pa
AIOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,Direct TShape-Zero (unrepaired) EasyTSAD replay,20260704,Results/Scores/TShapeZero/zero_shot_easytsad/seed_20260704/TShape-zero_shot/AIOPS/05f10d3a-239c-3bef-9bdc-a2feeb0037aa.npy,17,149509,0.006662,0.929204,0.921053,0.937500,0.172824,0.975898,0.956606,0.995984,0.164104
AIOPS,0efb375b-b902-3661-ab23-9a0bb799f4e3,Direct TShape-Zero (unrepaired) EasyTSAD replay,20260704,Results/Scores/TShapeZero/zero_shot_easytsad/seed_20260704/TShape-zero_shot/AIOPS/0efb375b-b902-3661-ab23-9a0bb799f4e3.npy,17,8767,0.008099,0.705882,0.750000,0.666667,0.204358,0.771739,0.628319,1.000000,0.167473
AIOPS,1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0,Direct TShape-Zero (unrepaired) EasyTSAD replay,20260704,Results/Scores/TShapeZero/zero_shot_easytsad/seed_20260704/TShape-zero_shot/AIOPS/1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0.npy,17,149509,0.004247,0.828025,0.942029,0.738636,0.227362,0.831216,0.980728,0.721260,0.217325
AIOPS,301c70d8-1630-35ac-8f96-bc1b6f4359ea,Direct TShape-Zero (unrepaired) EasyTSAD replay,20260704,Results/Scores/TShapeZero/zero_shot_easytsad/seed_20260704/TShape-zero_shot/AIOPS/301c70d8-1630-35ac-8f96-bc1b6f4359ea.npy,17,8767,0.023497,0.772727,0.755556,0.790698,0.285357,0.793734,0.858757,0.737864,0.257816
AIOPS,42d6616d-c9c5-370a-a8ba-17ead74f3114,Direct TShape-Zero (unrepaired) EasyTSAD replay,20260704,Results/Scores/TShapeZero/zero_shot_easytsad/seed_20260704/TShape-zero_shot/AIOPS/42d6616d-c9c5-370a-a8ba-17ead74f3114.npy,17,149509,0.012688,0.865979,0.943820,0.800000,0.219652,0.814794,0.885043,0.754876,0.175589
AIOPS,43115f2a-baeb-3b01-96f7-4ea14188343c,Direct TShape-Zero (unrepaired) EasyTSAD replay,20260704,Results/Scores/TShapeZero/zero_shot_easytsad/seed_20260704/TShape-zero_shot/AIOPS/43115f2a-baeb-3b01-96f7-4ea14188343c.npy,17,110677,0.008484,0.762431,0.784091,0.741935,0.146977,0.948411,0.928571,0.969116,0.141908
AIOPS,431a8542-c468-3988-a508-3afd06a218da,Direct TShape-Zero (unrepaired) EasyTSAD replay,20260704,Results/Scores/TShapeZero/zero_shot_easytsad/seed_20260704/TShape-zero_shot/AIOPS/431a8542-c468-3988-a508-3afd06a218da.npy,17,131778,0.027038,0.959583,0.968421,0.950904,0.183159,0.990508,0.985282,0.995790,0.168349
AIOPS,4d2af31a-9916-3d9f-8a8e-8a268a48c095,Direct TShape-Zero (unrepaired) EasyTSAD replay,20260704,Results/Scores/TShapeZero/zero_shot_easytsad/seed_20260704/TShape-zero_shot/AIOPS/4d2af31a-9916-3d9f-8a8e-8a268a48c095.npy,17,131778,0.023046,0.705882,0.882353,0.588235,0.155147,0.985934,0.991018,0.980902,0.147342
AIOPS,54350a12-7a9d-3ca8-b81f-f886b9d156fd,Direct TShape-Zero (unrepaired) EasyTSAD replay,20260704,Results/Scores/TShapeZero/zero_shot_easytsad/seed_20260704/TShape-zero_shot/AIOPS/54350a12-7a9d-3ca8-b81f-f886b9d156fd.npy,17,8911,0.012457,0.608696,0.437500,1.000000,0.323657,0.925000,0.860465,1.000000,0.323657
AIOPS,55f8b8b8-b659-38df-b3df-e4a5a8a54bc9,Direct TShape-Zero (unrepaired) EasyTSAD replay,20260704,Results/Scores/TShapeZero/zero_shot_easytsad/seed_20260704/TShape-zero_shot/AIOPS/55f8b8b8-b659-38df-b3df-e4a5a8a54bc9.npy,17,149509,0.040894,0.890323,0.878981,0.901961,0.187543,0.982339,0.977645,0.987079,0.175436
AIOPS,57051487-3a40-3828-9084-a12f7f23ee38,Direct TShape-Zero (unrepaired) EasyTSAD replay,20260704,Results/Scores/TShapeZero/zero_shot_easytsad/seed_20260704/TShape-zero_shot/AIOPS/57051487-3a40-3828-9084-a12f7f23ee38.npy,17,131768,0.000349,0.941176,1.000000,0.888889,0.472823,0.954545,1.000000,0.913043,0.472823
AIOPS,6a757df4-95e5-3357-8406-165e2bd49360,Direct TShape-Zero (unrepaired) EasyTSAD replay,20260704,Results/Scores/TShapeZero/zero_shot_easytsad/seed_20260704/TShape-zero_shot/AIOPS/6a757df4-95e5-3357-8406-165e2bd49360.npy,17,131778,0.022462,0.528302,0.933333,0.368421,0.269762,0.906337,0.883788,0.930068,0.158758
AIOPS,6d1114ae-be04-3c46-b5aa-be1a003a57cd,Direct TShape-Zero (unrepaired) EasyTSAD replay,20260704,Results/Scores/TShapeZero/zero_shot_easytsad/seed_20260704/TShape-zero_shot/AIOPS/6d1114ae-be04-3c46-b5aa-be1a003a57cd.npy,17,149509,0.005090,0.807947,0.924242,0.717647,0.206154,0.720372,0.877358,0.611038,0.185835
AIOPS,6efa3a07-4544-34a0-b921-a155bd1a05e8,Direct TShape-Zero (unrepaired) EasyTSAD replay,20260704,Results/Scores/TShapeZero/zero_shot_easytsad/seed_20260704/TShape-zero_shot/AIOPS/6efa3a07-4544-34a0-b921-a155bd1a05e8.npy,17,149509,0.035476,0.393502,0.443089,0.353896,0.280046,0.826416,0.774390,0.885935,0.219494
AIOPS,7103fa0f-cac4-314f-addc-866190247439,Direct TShape-Zero (unrepaired) EasyTSAD replay,20260704,Results/Scores/TShapeZero/zero_shot_easytsad/seed_20260704/TShape-zero_shot/AIOPS/7103fa0f-cac4-314f-addc-866190247439.npy,17,131773,0.000516,0.871795,1.000000,0.772727,0.190666,0.888889,0.965517,0.823529,0.168402
AIOPS,847e8ecc-f8d2-3a93-9107-f367a0aab37d,Direct TShape-Zero (unrepaired) EasyTSAD replay,20260704,Results/Scores/TShapeZero/zero_shot_easytsad/seed_20260704/TShape-zero_shot/AIOPS/847e8ecc-f8d2-3a93-9107-f367a0aab37d.npy,17,149509,0.005297,0.870968,0.920455,0.826531,0.143209,0.945612,0.926150,0.965909,0.132691
AIOPS,8723f0fb-eaef-32e6-b372-6034c9c04b80,Direct TShape-Zero (unrepaired) EasyTSAD replay,20260704,Results/Scores/TShapeZero/zero_shot_easytsad/seed_20260704/TShape-zero_shot/AIOPS/8723f0fb-eaef-32e6-b372-6034c9c04b80.npy,17,149509,0.005431,0.704545,0.805195,0.626263,0.180324,0.698778,0.839378,0.598522,0.168990
AIOPS,9c639a46-34c8-39bc-aaf0-9144b37adfc8,Direct TShape-Zero (unrepaired) EasyTSAD replay,20260704,Results/Scores/TShapeZero/zero_shot_easytsad/seed_20260704/TShape-zero_shot/AIOPS/9c639a46-34c8-39bc-aaf0-9144b37adfc8.npy,17,110677,0.008936,0.666667,0.730769,0.612903,0.143841,0.889741,0.845943,0.938322,0.138964
AIOPS,a07ac296-de40-3a7c-8df3-91f642cc14d0,Direct TShape-Zero (unrepaired) EasyTSAD replay,20260704,Results/Scores/TShapeZero/zero_shot_easytsad/seed_20260704/TShape-zero_shot/AIOPS/a07ac296-de40-3a7c-8df3-91f642cc14d0.npy,17,111348,0.020297,0.701031,0.957746,0.552846,0.180596,0.829281,0.998132,0.709292,0.180596
